"location","violation_desc","lon","lat","violation"
"4500 HIGH ST","SIDEWALK",-75.228118,40.028393,"SIDEWALK"
"200 CARSON ST","SIDEWALK",-75.224267,40.028277,"SIDEWALK"
"509 N 40TH ST","CORNER CLEARANCE",-75.202285,39.962097,"CORNER CLEARANCE"
"700 E ALLEGHENY AVE","SIDEWALK",-75.1171295209929,39.9969759614482,"SIDEWALK"
"1000 ARCH ST","SIDEWALK   CC",-75.15744,39.953677,"SIDEWALK"
"862 ANCHOR ST","SIDEWALK",-75.0906365885531,40.0346855320147,"SIDEWALK"
"2800 W STILES ST","SIDEWALK",-75.1820187217018,39.9751042426007,"SIDEWALK"
"1300 PEARL ST","SIDEWALK   CC",-75.160743,39.958417,"SIDEWALK"
"3200 N 15TH ST","CORNER CLEARANCE",-75.154142,40.003428,"CORNER CLEARANCE"
"500 KATER ST","SIDEWALK   CC",-75.151912,39.94158,"SIDEWALK"
"1500 CARLISLE ST","SIDEWALK",-75.159383,39.97632,"SIDEWALK"
"5600 N UBER ST","CORNER CLEARANCE",-75.153603,40.03956,"CORNER CLEARANCE"
"1100 RIDGE AVE","CORNER CLEARANCE  CC",-75.156808,39.961018,"CORNER CLEARANCE"
"1100 RIDGE AVE","CORNER CLEARANCE  CC",-75.156855,39.960838,"CORNER CLEARANCE"
"4500 HIGH ST","SIDEWALK",-75.228165,40.028237,"SIDEWALK"
"1000 WOOD ST","SIDEWALK   CC",-75.156523,39.958018,"SIDEWALK"
"200 CARSON ST","SIDEWALK",-75.22445,40.02814,"SIDEWALK"
"4500 WILDEY ST","SIDEWALK",-75.22539,40.029005,"SIDEWALK"
"4500 RITCHIE ST","SIDEWALK",-75.22515,40.028597,"SIDEWALK"
"1088 ALCOTT ST","SIDEWALK",-75.0894060240671,40.0359479395254,"SIDEWALK"
"300 COMLY ST","CROSSWALK",-75.104412439623,40.0469406660353,"CROSSWALK"
"2500 CARROLL ST","SIDEWALK",-75.2342668119063,39.9183537795735,"SIDEWALK"
"1300 WOOD ST","SIDEWALK   CC",-75.160522,39.958998,"SIDEWALK"
"1100 WOOD ST","SIDEWALK   CC",-75.158108,39.958432,"SIDEWALK"
"2000 LANSING ST","SIDEWALK",-75.059918,40.057297,"SIDEWALK"
"2100 S HICKS ST","CORNER CLEARANCE",-75.17217,39.923558,"CORNER CLEARANCE"
"500 JACKSON ST","CORNER CLEARANCE",-75.155852,39.921385,"CORNER CLEARANCE"
"600 N 2ND ST","CROSSWALK",-75.14115,39.96183,"CROSSWALK"
"500 N 18TH ST","CROSSWALK",-75.167725,39.963985,"CROSSWALK"
"2400 S 4TH ST","CROSSWALK",-75.1542863727809,39.9183328823496,"CROSSWALK"
"300 VINE ST","CORNER CLEARANCE  CC",-75.145283,39.955925,"CORNER CLEARANCE"
"500 SHUNK ST","CROSSWALK",-75.156445,39.916237,"CROSSWALK"
"400 LYCEUM AVE","CORNER CLEARANCE",-75.2169449072532,40.0313131064097,"CORNER CLEARANCE"
"200 QUARRY ST","SIDEWALK   CC",-75.14335,39.95329,"SIDEWALK"
"1914 RITTENHOUSE SQ","CROSSWALK    CC",-75.17314,39.948923,"CROSSWALK"
"5900 WALTON AVE","CROSSWALK",-75.2419162682116,39.9515836784552,"CROSSWALK"
"200 N 54TH ST","CROSSWALK",-75.2279550139418,39.9637602748931,"CROSSWALK"
"2400 S 12TH ST","CROSSWALK",-75.166828,39.920152,"CROSSWALK"
"1015 CHESTNUT ST","SIDEWALK   CC",-75.157765,39.949982,"SIDEWALK"
"400 MANTON ST","SIDEWALK",-75.1519301293753,39.9328938462302,"SIDEWALK"
"1400 BENNER ST","SIDEWALK",-75.0799334700514,40.0351296054833,"SIDEWALK"
"1500 ORTHODOX ST","CROSSWALK",-75.086515,40.01535,"CROSSWALK"
"1600 SELLERS ST","CROSSWALK",-75.086192,40.013828,"CROSSWALK"
"4226 MAYWOOD ST","SIDEWALK",-75.0991886728107,40.0112048979641,"SIDEWALK"
"1900 S 9TH ST","CORNER CLEARANCE",-75.160872,39.925385,"CORNER CLEARANCE"
"1500 S 8TH ST","CORNER CLEARANCE",-75.158347,39.929605,"CORNER CLEARANCE"
"2500 N 28TH ST","CORNER CLEARANCE",-75.1774653476602,39.9944932491739,"CORNER CLEARANCE"
"900 N TANEY ST","SIDEWALK",-75.1797910404029,39.9734063004051,"SIDEWALK"
"2500 N NAPA ST","SIDEWALK",-75.1828484879887,39.9951897410297,"SIDEWALK"
"2500 N NAPA ST","SIDEWALK",-75.1828484879887,39.9951897410297,"SIDEWALK"
"1300 DIAMOND ST","CROSSWALK",-75.155228,39.984425,"CROSSWALK"
"6800 LYNFORD ST","SIDEWALK",-75.0707103809872,40.0442724198474,"SIDEWALK"
"2900 W LEHIGH AVE","CORNER CLEARANCE",-75.1788909508775,39.9970804988199,"CORNER CLEARANCE"
"100 SHURS LN","CORNER CLEARANCE",-75.2181656254098,40.0223078900183,"CORNER CLEARANCE"
"1300 HOWELL ST","SIDEWALK",-75.0818815680591,40.0335277801802,"SIDEWALK"
"1200 N ORIANNA ST","SIDEWALK",-75.142362,39.970052,"SIDEWALK"
"3100 N 29TH ST","CORNER CLEARANCE",-75.177192428356,40.003388119706,"CORNER CLEARANCE"
"3100 D ST","CORNER CLEARANCE",-75.1214403416315,39.9967155279222,"CORNER CLEARANCE"
"3463 KEIM ST","SIDEWALK",-75.1171239404059,40.0009287041191,"SIDEWALK"
"808 E CORNWALL ST","SIDEWALK",-75.1139211029182,39.9986492804755,"SIDEWALK"
"800 E CORNWALL ST","CROSSWALK",-75.1139211029182,39.9986492804755,"CROSSWALK"
"700 E CORNWALL ST","SIDEWALK",-75.1159543894622,39.9990838696899,"SIDEWALK"
"200 E CAMBRIA ST","CORNER CLEARANCE",-75.127982921393,39.9936793283186,"CORNER CLEARANCE"
"400 E ALLEGHENY AVE","CORNER CLEARANCE",-75.1229588768186,39.9977214751098,"CORNER CLEARANCE"
"3100 HURLEY ST","CROSSWALK",-75.1219223151903,39.9967767175911,"CROSSWALK"
"2990 SALMON ST","SIDEWALK",-75.107183426449,39.9808006479701,"SIDEWALK"
"1100 CROSS ST","SIDEWALK",-75.163263,39.930183,"SIDEWALK"
"1300 PASSMORE ST","SIDEWALK",-75.0798994780093,40.0420668139102,"SIDEWALK"
"601 ALCOTT ST","CROSSWALK",-75.0992663720233,40.0414002728815,"CROSSWALK"
"1900 STERLING ST","SIDEWALK",-75.1494642958445,40.0677721269991,"SIDEWALK"
"600 N 31ST ST","CROSSWALK",-75.187602,39.96458,"CROSSWALK"
"7300 COTTAGE ST","CROSSWALK",-75.0373581936995,40.0335146341762,"CROSSWALK"
"900 N TANEY ST","SIDEWALK",-75.17973,39.973765,"SIDEWALK"
"1500 KATER ST","SIDEWALK   CC",-75.16842,39.943803,"SIDEWALK"
"1800 LATONA ST","SIDEWALK",-75.1745592450647,39.9359588195063,"SIDEWALK"
"300 S 41ST ST","CORNER CLEARANCE",-75.2056417725769,39.9517860578345,"CORNER CLEARANCE"
"300 E SHARPNACK ST","CROSSWALK",-75.1781799025193,40.0548747937067,"CROSSWALK"
"200 IDELL ST","CORNER CLEARANCE",-75.1917709318622,40.054095108937,"CORNER CLEARANCE"
"1513 CARLISLE ST","SIDEWALK",-75.159225,39.976673,"SIDEWALK"
"1502 CARLISLE ST","SIDEWALK",-75.159407,39.976228,"SIDEWALK"
"1800 WOMRATH ST","SIDEWALK",-75.0874910144854,40.0078120195556,"SIDEWALK"
"1000 NOBLE ST","CORNER CLEARANCE  CC",-75.155572,39.95953,"CORNER CLEARANCE"
"3200 N HOWARD ST","CROSSWALK",-75.130147003519,39.9994735486687,"CROSSWALK"
"3601 LOCUST WALK","SIDEWALK   CC",-75.1960297410893,39.9521368695759,"SIDEWALK"
"900 N TANEY ST","SIDEWALK",-75.1797910404029,39.9734063004051,"SIDEWALK"
"2000 E SCHILLER ST","SIDEWALK",-75.104503,39.996573,"SIDEWALK"
"1400 PEMBERTON ST","SIDEWALK",-75.166398,39.942403,"SIDEWALK"
"3401 FILBERT ST","CROSSWALK    CC",-75.192837,39.957148,"CROSSWALK"
"300 WOLF ST","CROSSWALK",-75.1530174743206,39.9196761860598,"CROSSWALK"
"2200 N CAMAC ST","SIDEWALK",-75.1531008628868,39.986694892521,"SIDEWALK"
"6000 ARDLEIGH ST","CROSSWALK",-75.1653844483578,40.0526592384118,"CROSSWALK"
"5300 RACE ST","CORNER CLEARANCE",-75.2265475915339,39.9633736531874,"CORNER CLEARANCE"
"1500 TYSON AVE","CORNER CLEARANCE",-75.069926599668,40.0466266245245,"CORNER CLEARANCE"
"7000 RUTLAND ST","SIDEWALK",-75.0689521018675,40.0470573734628,"SIDEWALK"
"1500 TYSON AVE","CORNER CLEARANCE",-75.069926599668,40.0466266245245,"CORNER CLEARANCE"
"5978 REACH ST","CROSSWALK",-75.1043704607309,40.0475550710509,"CROSSWALK"
"1400 S 8TH ST","CORNER CLEARANCE",-75.157842,39.931563,"CORNER CLEARANCE"
"1800 W NORRIS ST","CORNER CLEARANCE",-75.1635479055255,39.9840709685085,"CORNER CLEARANCE"
"800 N 27TH ST","CROSSWALK",-75.1811145768605,39.9710560827803,"CROSSWALK"
"153 W CHEW AVE","SIDEWALK",-75.1232665137004,40.0370928524854,"SIDEWALK"
"1200 JOHNSTON ST","CORNER CLEARANCE",-75.169465,39.915187,"CORNER CLEARANCE"
"1851 ALLEGHENY AVE","SIDEWALK",-75.112208,39.995342,"SIDEWALK"
"1000 NEW MARKET ST","CORNER CLEARANCE",-75.138902,39.965047,"CORNER CLEARANCE"
"1946 S REDFIELD ST","SIDEWALK",-75.2299601377871,39.9337446376022,"SIDEWALK"
"1100 WOOD ST","SIDEWALK   CC",-75.157925,39.958113,"SIDEWALK"
"1700 SANSOM ST","SIDEWALK   CC",-75.169732,39.950978,"SIDEWALK"
"1200 N 5TH ST","CROSSWALK",-75.14504,39.970262,"CROSSWALK"
"6500 THEODORE ST","SIDEWALK",-75.2300451630234,39.9210060590955,"SIDEWALK"
"800 STILLMAN ST","CROSSWALK",-75.178427,39.971225,"CROSSWALK"
"1200 WATTS ST","CORNER CLEARANCE",-75.158652,39.971292,"CORNER CLEARANCE"
"1100 RITTER ST","CROSSWALK",-75.165378,39.91998,"CROSSWALK"
"1700 WYLIE ST","SIDEWALK",-75.1651182089701,39.9702397146134,"SIDEWALK"
"300 HOWELL ST","CORNER CLEARANCE",-75.1051492778854,40.0471665527262,"CORNER CLEARANCE"
"200 E STELLA ST","CORNER CLEARANCE",-75.1265419887917,39.9957922514157,"CORNER CLEARANCE"
"611 SPRING GARDEN ST","SIDEWALK",-75.1494095357985,39.9614845106737,"SIDEWALK"
"2600 S 6TH ST","CROSSWALK",-75.1581330631456,39.9157770010007,"CROSSWALK"
"143 N 9TH ST","SIDEWALK   CC",-75.15482,39.954633,"SIDEWALK"
"2200 S 17TH ST","CORNER CLEARANCE",-75.174778,39.923762,"CORNER CLEARANCE"
"1700 ARLINGTON ST","SIDEWALK",-75.163412,39.983582,"SIDEWALK"
"640 MOUNTAIN ST","SIDEWALK",-75.1562414585503,39.928063370512,"SIDEWALK"
"500 REED ST","CORNER CLEARANCE",-75.153755,39.931105,"CORNER CLEARANCE"
"300 WOLF ST","CROSSWALK",-75.1530174743206,39.9196761860598,"CROSSWALK"
